freq,hash,group_concat(docid)
52,0x80C3BC71D5A863DF5BA043E2545E7F72D2FAE627,"49084,49093,49099,49107,49122,49124,49172,49185,49186,49189,49204,49219,49222,49254,49256,49286,49301,49303,49316,49325,49334,49351,49360,49367,49393,49415,49421,49464,49484,49507,49511,49513,49514,49568,49590,49627,49635,49658,49662,49673,49744,49761,49857,49864,49879,49904,49930,50029,50038,50045,50059,50075"
46,0x3BD614C046BC33FB7D039A4D14ED277E72032E1B,"49033,49051,49053,49060,49124,49130,49136,49186,49267,49268,49286,49298,49300,49346,49351,49360,49371,49382,49414,49450,49467,49478,49481,49491,49494,49503,49517,49568,49597,49632,49636,49637,49658,49671,49713,49721,49757,49761,49808,49838,49886,49899,49968,50023,50029,50030"
37,0x1A33DCFF3D26940B424624897F22848751D426C1,"49022,49084,49095,49099,49189,49203,49219,49252,49322,49346,49360,49367,49374,49393,49421,49484,49494,49503,49511,49544,49568,49587,49609,49656,49670,49743,49761,49763,49784,49796,49800,49803,49857,49881,49930,50069,50091"
36,0xB08C5A98BE98DD410304A592C7DBE4D91043B40A,"49084,49092,49114,49131,49162,49177,49286,49299,49305,49346,49370,49419,49460,49488,49514,49550,49573,49590,49597,49612,49632,49633,49642,49665,49740,49824,49828,49829,49870,49875,49877,49971,49998,50025,50045,50091"
34,0x60DEAD19A6D5468C9031AF1869A4B3C60C9009B6,"49003,49057,49139,49185,49223,49270,49271,49293,49296,49309,49346,49381,49391,49429,49441,49463,49511,49514,49567,49574,49632,49754,49760,49775,49828,49831,49903,49940,49974,49990,50008,50025,50067,50080"
32,0x30AFEE00B67721F83C0E73A7349E5C8189B79FB3,"49084,49095,49099,49170,49178,49186,49203,49207,49219,49261,49268,49294,49316,49341,49479,49494,49519,49627,49628,49629,49643,49681,49721,49748,49766,49845,49846,49893,49904,50017,50023,50061"
31,0x884466791FFCC7D97B35EB75D9C67F2093ADF1C9,"49023,49039,49067,49099,49189,49191,49219,49231,49251,49319,49324,49331,49360,49367,49372,49414,49445,49458,49567,49597,49609,49784,49803,49818,49821,49831,49857,49872,50025,50069,50076"
30,0x40AA4240FC3EAF2AF9E02FF8E801D9D79225E45E,"49071,49074,49088,49095,49122,49123,49257,49324,49325,49348,49360,49383,49431,49458,49514,49544,49580,49626,49636,49710,49821,49831,49845,49879,49905,49968,50030,50041,50063,50091"
30,0x6D9F67DAA9BDE41389C55D854D529B6A5ACA8F00,"49003,49038,49064,49090,49097,49105,49137,49203,49231,49257,49267,49286,49299,49305,49396,49451,49543,49547,49567,49579,49700,49770,49839,49866,49883,49887,49894,49971,50043,50070"
26,0x7D50A15371F23F0D6B60CA6F5CA9A3CDF02C811C,"49021,49170,49194,49207,49209,49243,49257,49259,49446,49455,49514,49521,49527,49543,49576,49635,49637,49662,49710,49722,49748,49797,49829,49887,49912,50041"
26,0xD998426B66F62E4D26FC44DE9851DC13287A10CE,"49018,49021,49044,49074,49092,49112,49128,49194,49283,49309,49363,49391,49445,49472,49478,49527,49543,49595,49710,49894,49940,49956,49990,50011,50062,50070"
25,0x2B87E1FBD4E067FDA61A977519B368C3F3437C25,"49053,49088,49107,49189,49286,49303,49357,49517,49544,49573,49587,49597,49632,49643,49660,49671,49713,49832,49838,49898,49922,49952,49968,50051,50069"
25,0xACAB1E291627036663999EF5FFAFBB91FEDB0AC6,"49056,49066,49137,49209,49231,49275,49319,49324,49371,49380,49409,49590,49597,49748,49784,49829,49837,49838,49853,49872,49911,50023,50040,50051,50069"
24,0x383CB59B3C1A24AF0FC61F501E8CB142AA421E54,"49039,49053,49056,49059,49074,49122,49136,49252,49372,49458,49470,49484,49494,49560,49576,49597,49714,49784,49824,49857,49894,50001,50030,50045"
22,0x5E58D4B6EA9C2B71A5CA30209D2755483C789406,"49023,49046,49075,49143,49172,49203,49257,49451,49477,49527,49533,49579,49620,49626,49645,49748,49754,49797,49879,49881,50001,50040"
22,0x7D05D53DCDAD4DA49EC856115FB283E1796B9402,"49095,49312,49367,49372,49380,49382,49458,49484,49511,49597,49636,49658,49670,49713,49714,49757,49818,49838,49919,49930,50023,50069"
22,0x9F075228B2629BCFDECC82FA66AE864583617CEA,"49033,49039,49043,49105,49171,49303,49324,49330,49346,49389,49487,49550,49609,49617,49626,49632,49658,49754,49796,49803,50002,50009"
22,0xA5197F10266AE7D8351F3CD15CCF02370BC43F97,"49077,49111,49112,49174,49379,49464,49517,49609,49628,49661,49662,49700,49714,49748,49751,49757,49845,49893,49897,50041,50045,50077"
22,0xAA651AB29C036F0056B32B0C6F23FDD0F7747528,"49003,49057,49108,49137,49139,49223,49257,49296,49309,49381,49397,49455,49574,49579,49606,49754,49760,49974,49990,50025,50041,50067"
21,0xABD6268F5D2998637B867239CFCA25D596837C99,"49046,49092,49093,49180,49203,49346,49456,49550,49573,49626,49632,49774,49784,49829,49831,49872,49877,49940,50059,50069,50077"
20,0x65E665E66EAAE9D0A743FEA51969A49140FCD163,"49056,49075,49137,49141,49226,49243,49267,49309,49402,49409,49550,49597,49711,49808,49831,49898,49919,50009,50023,50076"
20,0xCE0E8B4D4B45EA46E83BD76074F9A94460612FAD,"49123,49360,49397,49507,49514,49597,49612,49627,49656,49751,49761,49803,49870,49905,49933,50009,50017,50045,50051,50085"
20,0xE76184639C6F5983D4BC015BA8CBC027E7984A44,"49043,49056,49059,49066,49125,49137,49203,49224,49279,49309,49330,49409,49508,49514,49517,49597,49606,49790,49831,50076"
18,0x84C49D8A1BD0E2D433AD0845B023158CDE717D67,"49003,49057,49078,49114,49223,49241,49381,49387,49508,49536,49574,49579,49724,49728,49754,49783,49792,49974"
18,0x9604D5A7D0AB9A7206FE05C4F34E1AD4B6325AEC,"49056,49060,49066,49075,49107,49194,49283,49363,49399,49409,49484,49597,49642,49733,49760,49797,49847,50009"
18,0xAEDA38EF45D229C026B2F88334F1AD0ACF83546F,"49060,49061,49111,49124,49163,49268,49282,49294,49316,49325,49513,49544,49643,49758,49845,49952,50023,50075"
17,0xD88FBC05F8665691E5044C8A0684DA42A39F4721,"49051,49093,49285,49305,49371,49414,49481,49496,49517,49523,49606,49750,49817,49821,49875,50051,50061"
16,0xE8DB5CEBCEB6A0C451B02E27D8111973E67F286E,"49046,49090,49092,49108,49194,49259,49284,49375,49397,49399,49722,49754,49797,49880,49959,50054"
15,0x23CD5A4CCC925C44E1399E4A55FB7B751A76AD37,"49095,49111,49124,49189,49222,49251,49298,49325,49660,49681,49774,49832,49845,49893,49911"
15,0x3C7743AEE3D15714565EDD72BAE96933DA17B767,"49075,49097,49162,49451,49469,49505,49550,49552,49648,49710,49796,49829,49887,49894,50070"
15,0xE6B5567E46F36C78950B431316545FC8E95DB2B1,"49095,49099,49286,49294,49298,49351,49360,49401,49513,49568,49721,49761,49868,49930,50045"
14,0x2E9A3DC6F733F31B8B7312690CCCEFD11DFDFAB9,"49185,49204,49309,49399,49470,49505,49532,49550,49645,49828,49898,50025,50067,50077"
14,0x6F8C86B0E47F086C97D17AB51591BC17FF6AFB48,"49019,49180,49194,49247,49286,49338,49398,49469,49494,49514,49606,49716,49776,49784"
13,0x525715567CF5BC3023460FDF3D0EB2F1EDA4D9A9,"49060,49261,49268,49298,49423,49513,49681,49721,49774,49777,49832,49845,49905"
12,0x2D024A070D1F44E591DB79FA3A2E161CE1346EB5,"49204,49279,49309,49399,49532,49576,49645,49824,49863,49909,50041,50059"
12,0x34D6A44C7C84B33F289EC3CEC271E3405A0D9900,"49046,49123,49303,49326,49349,49388,49397,49507,49573,49642,49832,49905"
12,0x39FFC633A8CC1F317E4EE1608CF8E36FBB62533C,"49027,49157,49191,49195,49353,49439,49462,49533,49723,49754,49786,49802"
12,0x8FA4A9B3038E988FEF2EFFCA4A5178345ABEB0D9,"49057,49078,49114,49223,49381,49387,49508,49579,49728,49754,49783,49792"
